#TYPE Deserialized.Selected.System.ServiceProcess.ServiceController
"Name","DisplayName","Status","StartType","PSComputerName","RunspaceId","PSShowComputerName"
"ADWS","Active Directory Web Services","Running","Automatic","DC17678","25eeef06-db43-48d8-bf9e-a1fe63e724a9","True"
"AJRouter","AllJoyn Router Service","Stopped","Manual","DC17678","25eeef06-db43-48d8-bf9e-a1fe63e724a9","True"
"ALG","Application Layer Gateway Service","Stopped","Manual","DC17678","25eeef06-db43-48d8-bf9e-a1fe63e724a9","True"
"AppIDSvc","Application Identity","Stopped","Manual","DC17678","25eeef06-db43-48d8-bf9e-a1fe63e724a9","True"
"Appinfo","Application Information","Running","Manual","DC17678","25eeef06-db43-48d8-bf9e-a1fe63e724a9","True"
"AppMgmt","Application Management","Stopped","Manual","DC17678","25eeef06-db43-48d8-bf9e-a1fe63e724a9","True"
"AppReadiness","App Readiness","Stopped","Manual","DC17678","25eeef06-db43-48d8-bf9e-a1fe63e724a9","True"
"AppVClient","Microsoft App-V Client","Stopped","Disabled","DC17678","25eeef06-db43-48d8-bf9e-a1fe63e724a9","True"
"AppXSvc","AppX Deployment Service (AppXSVC)","Stopped","Manual","DC17678","25eeef06-db43-48d8-bf9e-a1fe63e724a9","True"
"AudioEndpointBuilder","Windows Audio Endpoint Builder","Stopped","Manual","DC17678","25eeef06-db43-48d8-bf9e-a1fe63e724a9","True"
"Audiosrv","Windows Audio","Stopped","Manual","DC17678","25eeef06-db43-48d8-bf9e-a1fe63e724a9","True"
"AxInstSV","ActiveX Installer (AxInstSV)","Stopped","Manual","DC17678","25eeef06-db43-48d8-bf9e-a1fe63e724a9","True"
"BDESVC","BitLocker Drive Encryption Service","Running","Manual","DC17678","25eeef06-db43-48d8-bf9e-a1fe63e724a9","True"
"BFE","Base Filtering Engine","Running","Automatic","DC17678","25eeef06-db43-48d8-bf9e-a1fe63e724a9","True"
"BITS","Background Intelligent Transfer Service","Stopped","Manual","DC17678","25eeef06-db43-48d8-bf9e-a1fe63e724a9","True"
"BrokerInfrastructure","Background Tasks Infrastructure Service","Running","Automatic","DC17678","25eeef06-db43-48d8-bf9e-a1fe63e724a9","True"
"BTAGService","Bluetooth Audio Gateway Service","Stopped","Manual","DC17678","25eeef06-db43-48d8-bf9e-a1fe63e724a9","True"
"BthAvctpSvc","AVCTP service","Stopped","Manual","DC17678","25eeef06-db43-48d8-bf9e-a1fe63e724a9","True"
"bthserv","Bluetooth Support Service","Stopped","Manual","DC17678","25eeef06-db43-48d8-bf9e-a1fe63e724a9","True"
"camsvc","Capability Access Manager Service","Stopped","Manual","DC17678","25eeef06-db43-48d8-bf9e-a1fe63e724a9","True"
"CaptureService_4fb1e","CaptureService_4fb1e","Stopped","Manual","DC17678","25eeef06-db43-48d8-bf9e-a1fe63e724a9","True"
"cbdhsvc_4fb1e","Clipboard User Service_4fb1e","Stopped","Manual","DC17678","25eeef06-db43-48d8-bf9e-a1fe63e724a9","True"
"CDPSvc","Connected Devices Platform Service","Running","Automatic","DC17678","25eeef06-db43-48d8-bf9e-a1fe63e724a9","True"
"CDPUserSvc_4fb1e","Connected Devices Platform User Service_4fb1e","Running","Automatic","DC17678","25eeef06-db43-48d8-bf9e-a1fe63e724a9","True"
"CertPropSvc","Certificate Propagation","Running","Manual","DC17678","25eeef06-db43-48d8-bf9e-a1fe63e724a9","True"
"CertSvc","Active Directory Certificate Services","Running","Automatic","DC17678","25eeef06-db43-48d8-bf9e-a1fe63e724a9","True"
"ClipSVC","Client License Service (ClipSVC)","Stopped","Manual","DC17678","25eeef06-db43-48d8-bf9e-a1fe63e724a9","True"
"COMSysApp","COM+ System Application","Stopped","Manual","DC17678","25eeef06-db43-48d8-bf9e-a1fe63e724a9","True"
"ConsentUxUserSvc_4fb1e","ConsentUX_4fb1e","Stopped","Manual","DC17678","25eeef06-db43-48d8-bf9e-a1fe63e724a9","True"
"CoreMessagingRegistrar","CoreMessaging","Running","Automatic","DC17678","25eeef06-db43-48d8-bf9e-a1fe63e724a9","True"
"CryptSvc","Cryptographic Services","Running","Automatic","DC17678","25eeef06-db43-48d8-bf9e-a1fe63e724a9","True"
"CscService","Offline Files","Stopped","Disabled","DC17678","25eeef06-db43-48d8-bf9e-a1fe63e724a9","True"
"DcomLaunch","DCOM Server Process Launcher","Running","Automatic","DC17678","25eeef06-db43-48d8-bf9e-a1fe63e724a9","True"
"defragsvc","Optimize drives","Stopped","Manual","DC17678","25eeef06-db43-48d8-bf9e-a1fe63e724a9","True"
"DeviceAssociationService","Device Association Service","Stopped","Manual","DC17678","25eeef06-db43-48d8-bf9e-a1fe63e724a9","True"
"DeviceInstall","Device Install Service","Stopped","Manual","DC17678","25eeef06-db43-48d8-bf9e-a1fe63e724a9","True"
"DevicePickerUserSvc_4fb1e","DevicePicker_4fb1e","Stopped","Manual","DC17678","25eeef06-db43-48d8-bf9e-a1fe63e724a9","True"
"DevicesFlowUserSvc_4fb1e","DevicesFlow_4fb1e","Stopped","Manual","DC17678","25eeef06-db43-48d8-bf9e-a1fe63e724a9","True"
"DevQueryBroker","DevQuery Background Discovery Broker","Stopped","Manual","DC17678","25eeef06-db43-48d8-bf9e-a1fe63e724a9","True"
"Dfs","DFS Namespace","Running","Automatic","DC17678","25eeef06-db43-48d8-bf9e-a1fe63e724a9","True"
"DFSR","DFS Replication","Running","Automatic","DC17678","25eeef06-db43-48d8-bf9e-a1fe63e724a9","True"
"Dhcp","DHCP Client","Running","Automatic","DC17678","25eeef06-db43-48d8-bf9e-a1fe63e724a9","True"
"DHCPServer","DHCP Server","Running","Automatic","DC17678","25eeef06-db43-48d8-bf9e-a1fe63e724a9","True"
"diagnosticshub.standardcollector.service","Microsoft (R) Diagnostics Hub Standard Collector Service","Stopped","Manual","DC17678","25eeef06-db43-48d8-bf9e-a1fe63e724a9","True"
"DiagTrack","Connected User Experiences and Telemetry","Running","Automatic","DC17678","25eeef06-db43-48d8-bf9e-a1fe63e724a9","True"
"DmEnrollmentSvc","Device Management Enrollment Service","Stopped","Manual","DC17678","25eeef06-db43-48d8-bf9e-a1fe63e724a9","True"
"dmwappushservice","Device Management Wireless Application Protocol (WAP) Push message Routing Service","Stopped","Manual","DC17678","25eeef06-db43-48d8-bf9e-a1fe63e724a9","True"
"DNS","DNS Server","Running","Automatic","DC17678","25eeef06-db43-48d8-bf9e-a1fe63e724a9","True"
"Dnscache","DNS Client","Running","Automatic","DC17678","25eeef06-db43-48d8-bf9e-a1fe63e724a9","True"
"DoSvc","Delivery Optimization","Stopped","Manual","DC17678","25eeef06-db43-48d8-bf9e-a1fe63e724a9","True"
"dot3svc","Wired AutoConfig","Stopped","Manual","DC17678","25eeef06-db43-48d8-bf9e-a1fe63e724a9","True"
"DPS","Diagnostic Policy Service","Running","Automatic","DC17678","25eeef06-db43-48d8-bf9e-a1fe63e724a9","True"
"DsmSvc","Device Setup Manager","Running","Manual","DC17678","25eeef06-db43-48d8-bf9e-a1fe63e724a9","True"
"DsRoleSvc","DS Role Server","Stopped","Manual","DC17678","25eeef06-db43-48d8-bf9e-a1fe63e724a9","True"
"DsSvc","Data Sharing Service","Stopped","Manual","DC17678","25eeef06-db43-48d8-bf9e-a1fe63e724a9","True"
"Eaphost","Extensible Authentication Protocol","Stopped","Manual","DC17678","25eeef06-db43-48d8-bf9e-a1fe63e724a9","True"
"EFS","Encrypting File System (EFS)","Stopped","Manual","DC17678","25eeef06-db43-48d8-bf9e-a1fe63e724a9","True"
"embeddedmode","Embedded Mode","Stopped","Manual","DC17678","25eeef06-db43-48d8-bf9e-a1fe63e724a9","True"
"EntAppSvc","Enterprise App Management Service","Stopped","Manual","DC17678","25eeef06-db43-48d8-bf9e-a1fe63e724a9","True"
"EventLog","Windows Event Log","Running","Automatic","DC17678","25eeef06-db43-48d8-bf9e-a1fe63e724a9","True"
"EventSystem","COM+ Event System","Running","Automatic","DC17678","25eeef06-db43-48d8-bf9e-a1fe63e724a9","True"
"fdPHost","Function Discovery Provider Host","Stopped","Manual","DC17678","25eeef06-db43-48d8-bf9e-a1fe63e724a9","True"
"FDResPub","Function Discovery Resource Publication","Stopped","Manual","DC17678","25eeef06-db43-48d8-bf9e-a1fe63e724a9","True"
"FontCache","Windows Font Cache Service","Running","Automatic","DC17678","25eeef06-db43-48d8-bf9e-a1fe63e724a9","True"
"FrameServer","Windows Camera Frame Server","Stopped","Manual","DC17678","25eeef06-db43-48d8-bf9e-a1fe63e724a9","True"
"gpsvc","Group Policy Client","Running","Automatic","DC17678","25eeef06-db43-48d8-bf9e-a1fe63e724a9","True"
"GraphicsPerfSvc","GraphicsPerfSvc","Stopped","Manual","DC17678","25eeef06-db43-48d8-bf9e-a1fe63e724a9","True"
"hidserv","Human Interface Device Service","Stopped","Manual","DC17678","25eeef06-db43-48d8-bf9e-a1fe63e724a9","True"
"HvHost","HV Host Service","Stopped","Manual","DC17678","25eeef06-db43-48d8-bf9e-a1fe63e724a9","True"
"icssvc","Windows Mobile Hotspot Service","Stopped","Manual","DC17678","25eeef06-db43-48d8-bf9e-a1fe63e724a9","True"
"IKEEXT","IKE and AuthIP IPsec Keying Modules","Stopped","Manual","DC17678","25eeef06-db43-48d8-bf9e-a1fe63e724a9","True"
"InstallService","Microsoft Store Install Service","Stopped","Manual","DC17678","25eeef06-db43-48d8-bf9e-a1fe63e724a9","True"
"iphlpsvc","IP Helper","Running","Automatic","DC17678","25eeef06-db43-48d8-bf9e-a1fe63e724a9","True"
"IsmServ","Intersite Messaging","Running","Automatic","DC17678","25eeef06-db43-48d8-bf9e-a1fe63e724a9","True"
"Kdc","Kerberos Key Distribution Center","Running","Automatic","DC17678","25eeef06-db43-48d8-bf9e-a1fe63e724a9","True"
"KdsSvc","Microsoft Key Distribution Service","Stopped","Manual","DC17678","25eeef06-db43-48d8-bf9e-a1fe63e724a9","True"
"KeyIso","CNG Key Isolation","Running","Manual","DC17678","25eeef06-db43-48d8-bf9e-a1fe63e724a9","True"
"KPSSVC","KDC Proxy Server service (KPS)","Stopped","Manual","DC17678","25eeef06-db43-48d8-bf9e-a1fe63e724a9","True"
"KtmRm","KtmRm for Distributed Transaction Coordinator","Stopped","Manual","DC17678","25eeef06-db43-48d8-bf9e-a1fe63e724a9","True"
"LanmanServer","Server","Running","Automatic","DC17678","25eeef06-db43-48d8-bf9e-a1fe63e724a9","True"
"LanmanWorkstation","Workstation","Running","Automatic","DC17678","25eeef06-db43-48d8-bf9e-a1fe63e724a9","True"
"lfsvc","Geolocation Service","Stopped","Manual","DC17678","25eeef06-db43-48d8-bf9e-a1fe63e724a9","True"
"LicenseManager","Windows License Manager Service","Running","Manual","DC17678","25eeef06-db43-48d8-bf9e-a1fe63e724a9","True"
"lltdsvc","Link-Layer Topology Discovery Mapper","Stopped","Manual","DC17678","25eeef06-db43-48d8-bf9e-a1fe63e724a9","True"
"lmhosts","TCP/IP NetBIOS Helper","Running","Manual","DC17678","25eeef06-db43-48d8-bf9e-a1fe63e724a9","True"
"LSM","Local Session Manager","Running","Automatic","DC17678","25eeef06-db43-48d8-bf9e-a1fe63e724a9","True"
"MapsBroker","Downloaded Maps Manager","Stopped","Automatic","DC17678","25eeef06-db43-48d8-bf9e-a1fe63e724a9","True"
"mpssvc","Windows Defender Firewall","Running","Automatic","DC17678","25eeef06-db43-48d8-bf9e-a1fe63e724a9","True"
"MSDTC","Distributed Transaction Coordinator","Running","Automatic","DC17678","25eeef06-db43-48d8-bf9e-a1fe63e724a9","True"
"MSiSCSI","Microsoft iSCSI Initiator Service","Running","Automatic","DC17678","25eeef06-db43-48d8-bf9e-a1fe63e724a9","True"
"msiserver","Windows Installer","Stopped","Manual","DC17678","25eeef06-db43-48d8-bf9e-a1fe63e724a9","True"
"NcaSvc","Network Connectivity Assistant","Stopped","Manual","DC17678","25eeef06-db43-48d8-bf9e-a1fe63e724a9","True"
