#TYPE Deserialized.Selected.System.ServiceProcess.ServiceController
"Name","DisplayName","Status","StartType","PSComputerName","RunspaceId","PSShowComputerName"
"AJRouter","AllJoyn Router Service","Stopped","Manual","FS217678","ab4bff13-76d0-4b18-8fa6-0b1be6d8d365","True"
"ALG","Application Layer Gateway Service","Stopped","Manual","FS217678","ab4bff13-76d0-4b18-8fa6-0b1be6d8d365","True"
"AppHostSvc","Application Host Helper Service","Running","Automatic","FS217678","ab4bff13-76d0-4b18-8fa6-0b1be6d8d365","True"
"AppIDSvc","Application Identity","Stopped","Manual","FS217678","ab4bff13-76d0-4b18-8fa6-0b1be6d8d365","True"
"Appinfo","Application Information","Stopped","Manual","FS217678","ab4bff13-76d0-4b18-8fa6-0b1be6d8d365","True"
"AppMgmt","Application Management","Stopped","Manual","FS217678","ab4bff13-76d0-4b18-8fa6-0b1be6d8d365","True"
"AppReadiness","App Readiness","Stopped","Manual","FS217678","ab4bff13-76d0-4b18-8fa6-0b1be6d8d365","True"
"AppVClient","Microsoft App-V Client","Stopped","Disabled","FS217678","ab4bff13-76d0-4b18-8fa6-0b1be6d8d365","True"
"AppXSvc","AppX Deployment Service (AppXSVC)","Stopped","Manual","FS217678","ab4bff13-76d0-4b18-8fa6-0b1be6d8d365","True"
"aspnet_state","ASP.NET State Service","Stopped","Manual","FS217678","ab4bff13-76d0-4b18-8fa6-0b1be6d8d365","True"
"AudioEndpointBuilder","Windows Audio Endpoint Builder","Stopped","Manual","FS217678","ab4bff13-76d0-4b18-8fa6-0b1be6d8d365","True"
"Audiosrv","Windows Audio","Stopped","Manual","FS217678","ab4bff13-76d0-4b18-8fa6-0b1be6d8d365","True"
"AxInstSV","ActiveX Installer (AxInstSV)","Stopped","Manual","FS217678","ab4bff13-76d0-4b18-8fa6-0b1be6d8d365","True"
"BFE","Base Filtering Engine","Running","Automatic","FS217678","ab4bff13-76d0-4b18-8fa6-0b1be6d8d365","True"
"BITS","Background Intelligent Transfer Service","Stopped","Manual","FS217678","ab4bff13-76d0-4b18-8fa6-0b1be6d8d365","True"
"BrokerInfrastructure","Background Tasks Infrastructure Service","Running","Automatic","FS217678","ab4bff13-76d0-4b18-8fa6-0b1be6d8d365","True"
"BTAGService","Bluetooth Audio Gateway Service","Stopped","Manual","FS217678","ab4bff13-76d0-4b18-8fa6-0b1be6d8d365","True"
"BthAvctpSvc","AVCTP service","Stopped","Manual","FS217678","ab4bff13-76d0-4b18-8fa6-0b1be6d8d365","True"
"bthserv","Bluetooth Support Service","Stopped","Manual","FS217678","ab4bff13-76d0-4b18-8fa6-0b1be6d8d365","True"
"camsvc","Capability Access Manager Service","Stopped","Manual","FS217678","ab4bff13-76d0-4b18-8fa6-0b1be6d8d365","True"
"CDPSvc","Connected Devices Platform Service","Running","Automatic","FS217678","ab4bff13-76d0-4b18-8fa6-0b1be6d8d365","True"
"CertPropSvc","Certificate Propagation","Running","Manual","FS217678","ab4bff13-76d0-4b18-8fa6-0b1be6d8d365","True"
"ClipSVC","Client License Service (ClipSVC)","Stopped","Manual","FS217678","ab4bff13-76d0-4b18-8fa6-0b1be6d8d365","True"
"COMSysApp","COM+ System Application","Stopped","Manual","FS217678","ab4bff13-76d0-4b18-8fa6-0b1be6d8d365","True"
"CoreMessagingRegistrar","CoreMessaging","Running","Automatic","FS217678","ab4bff13-76d0-4b18-8fa6-0b1be6d8d365","True"
"CryptSvc","Cryptographic Services","Running","Automatic","FS217678","ab4bff13-76d0-4b18-8fa6-0b1be6d8d365","True"
"CscService","Offline Files","Stopped","Disabled","FS217678","ab4bff13-76d0-4b18-8fa6-0b1be6d8d365","True"
"DcomLaunch","DCOM Server Process Launcher","Running","Automatic","FS217678","ab4bff13-76d0-4b18-8fa6-0b1be6d8d365","True"
"defragsvc","Optimize drives","Stopped","Manual","FS217678","ab4bff13-76d0-4b18-8fa6-0b1be6d8d365","True"
"DeviceAssociationService","Device Association Service","Stopped","Manual","FS217678","ab4bff13-76d0-4b18-8fa6-0b1be6d8d365","True"
"DeviceInstall","Device Install Service","Stopped","Manual","FS217678","ab4bff13-76d0-4b18-8fa6-0b1be6d8d365","True"
