#TYPE Deserialized.Selected.System.ServiceProcess.ServiceController
"Name","DisplayName","Status","StartType","PSComputerName","RunspaceId","PSShowComputerName"
"AJRouter","AllJoyn Router Service","Stopped","Manual","W1017678","306725b9-41f9-4466-874c-98b8acabdada","True"
"ALG","Application Layer Gateway Service","Stopped","Manual","W1017678","306725b9-41f9-4466-874c-98b8acabdada","True"
"AppIDSvc","Application Identity","Stopped","Manual","W1017678","306725b9-41f9-4466-874c-98b8acabdada","True"
"Appinfo","Application Information","Stopped","Manual","W1017678","306725b9-41f9-4466-874c-98b8acabdada","True"
"AppMgmt","Application Management","Stopped","Manual","W1017678","306725b9-41f9-4466-874c-98b8acabdada","True"
"AppReadiness","App Readiness","Stopped","Manual","W1017678","306725b9-41f9-4466-874c-98b8acabdada","True"
"AppVClient","Microsoft App-V Client","Stopped","Disabled","W1017678","306725b9-41f9-4466-874c-98b8acabdada","True"
"AppXSvc","AppX Deployment Service (AppXSVC)","Stopped","Manual","W1017678","306725b9-41f9-4466-874c-98b8acabdada","True"
"AssignedAccessManagerSvc","AssignedAccessManager Service","Stopped","Manual","W1017678","306725b9-41f9-4466-874c-98b8acabdada","True"
"AudioEndpointBuilder","Windows Audio Endpoint Builder","Running","Automatic","W1017678","306725b9-41f9-4466-874c-98b8acabdada","True"
"Audiosrv","Windows Audio","Running","Automatic","W1017678","306725b9-41f9-4466-874c-98b8acabdada","True"
"autotimesvc","Cellular Time","Stopped","Manual","W1017678","306725b9-41f9-4466-874c-98b8acabdada","True"
"AxInstSV","ActiveX Installer (AxInstSV)","Stopped","Manual","W1017678","306725b9-41f9-4466-874c-98b8acabdada","True"
"BDESVC","BitLocker Drive Encryption Service","Running","Manual","W1017678","306725b9-41f9-4466-874c-98b8acabdada","True"
"BFE","Base Filtering Engine","Running","Automatic","W1017678","306725b9-41f9-4466-874c-98b8acabdada","True"
"BITS","Background Intelligent Transfer Service","Stopped","Manual","W1017678","306725b9-41f9-4466-874c-98b8acabdada","True"
"BrokerInfrastructure","Background Tasks Infrastructure Service","Running","Automatic","W1017678","306725b9-41f9-4466-874c-98b8acabdada","True"
"BTAGService","Bluetooth Audio Gateway Service","Stopped","Manual","W1017678","306725b9-41f9-4466-874c-98b8acabdada","True"
"BthAvctpSvc","AVCTP service","Stopped","Manual","W1017678","306725b9-41f9-4466-874c-98b8acabdada","True"
"bthserv","Bluetooth Support Service","Stopped","Manual","W1017678","306725b9-41f9-4466-874c-98b8acabdada","True"
"camsvc","Capability Access Manager Service","Stopped","Manual","W1017678","306725b9-41f9-4466-874c-98b8acabdada","True"
